1,Respondent,MainBranch,Country,DatabaseWorkedWith,DevType,LanguageWorkedWith,NEWCollabToolsWorkedWith,OpSys,PlatformWorkedWith,UndergradMajor
87,5445,I am a developer by profession,India,MariaDB;MySQL;Oracle;SQLite,"Academic researcher;Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile",C;HTML/CSS;Java;JavaScript;PHP;SQL;Swift,"Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)",Windows,Android;AWS;Google Cloud Platform;iOS;Linux;MacOS;Microsoft Azure;Windows;WordPress,"Computer science, computer engineering, or software engineering"
88,5477,I am a developer by profession,India,Microsoft SQL Server;MySQL;SQLite,"Developer, full-stack",Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Julia;Python;R;SQL,"Github;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",Windows,Android;Linux;Windows,"Computer science, computer engineering, or software engineering"
89,5535,I am a developer by profession,India,MySQL;SQLite,"Developer, mobile;Educator;Product manager",Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;Objective-C;Python;SQL;Swift,"Github;Gitlab;Google Suite (Docs, Meet, etc)",MacOS,iOS;Linux;MacOS,"Computer science, computer engineering, or software engineering"
90,5564,I am a developer by profession,India,MySQL;PostgreSQL,Data or business analyst,Bash/Shell/PowerShell;Java;Python;Scala;SQL,Github;Microsoft Teams,Linux-based,AWS;Linux;MacOS,"Computer science, computer engineering, or software engineering"
91,5565,I am a developer by profession,India,MongoDB;MySQL,"Developer, back-end;Developer, front-end;Developer, full-stack",HTML/CSS;JavaScript;PHP;TypeScript,Github;Gitlab,Linux-based,Linux,"Information systems, information technology, or system administration"
92,5625,I am a developer by profession,India,MySQL;PostgreSQL,"Developer, back-end;Developer, front-end;Developer, full-stack",C++;HTML/CSS;Java;JavaScript;Python;SQL,Github;Gitlab,Windows,Android;Windows,"Computer science, computer engineering, or software engineering"
93,5633,I am a developer by profession,India,DynamoDB;MySQL;PostgreSQL;SQLite,"Data or business analyst;Data scientist or machine learning specialist;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Engineer, data",C#;C++;HTML/CSS;JavaScript,"Github;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Windows,Windows,"Computer science, computer engineering, or software engineering"
94,5637,I am a developer by profession,India,Cassandra;MongoDB;MySQL;Oracle;Redis,"Database administrator;Developer, back-end;System administrator",Java;SQL,Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams,Windows,Docker;Linux;Windows,"Computer science, computer engineering, or software engineering"
95,5649,I am a developer by profession,India,MongoDB;MySQL;Redis,Academic researcher;Designer;Educator,C#;Java;JavaScript,Github;Slack;Trello,Linux-based,Linux;Windows,"Computer science, computer engineering, or software engineering"
96,5651,I am a developer by profession,India,Firebase;MySQL;SQLite,"Developer, mobile",C#;Java;JavaScript;Objective-C;Swift,Jira;Github;Slack,MacOS,Android;iOS,"Computer science, computer engineering, or software engineering"
97,5663,I am a developer by profession,India,MongoDB;MySQL,"Developer, back-end;Developer, front-end;Developer, full-stack",C;HTML/CSS;Java;JavaScript,Confluence;Jira;Github;Slack,Windows,Docker,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
98,5670,I am a developer by profession,India,MySQL;SQLite,"Developer, front-end;Developer, mobile",C;C++;Dart;Haskell;Java;Python,Confluence;Jira;Github;Slack,Linux-based,Android;Linux;Windows,"Computer science, computer engineering, or software engineering"
99,5673,I am a developer by profession,India,MySQL;SQLite,"Developer, front-end;Developer, mobile;Educator",Java;Kotlin,Jira;Github;Slack;Microsoft Azure;Trello;Stack Overflow for Teams,Linux-based,Android,"Computer science, computer engineering, or software engineering"
100,5697,I am a developer by profession,India,DynamoDB;PostgreSQL;Redis;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices",C;C++,"Confluence;Jira;Github;Slack;Microsoft Azure;Google Suite (Docs, Meet, etc)",Linux-based,AWS;Docker;Linux;Windows,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
101,5719,I am a developer by profession,India,DynamoDB,"Developer, back-end",Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;Scala,Github,Linux-based,AWS;Docker;Linux;MacOS,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
102,5721,I am a developer by profession,India,Microsoft SQL Server;MySQL,"Academic researcher;Developer, back-end;Developer, full-stack",Java;JavaScript,Confluence;Jira;Github;Trello,Windows,Android,"Computer science, computer engineering, or software engineering"
103,5726,I am a developer by profession,India,Firebase;MongoDB;SQLite,"Developer, desktop or enterprise applications;Developer, full-stack",HTML/CSS;JavaScript;TypeScript,Confluence;Jira;Github,Windows,AWS;Google Cloud Platform;Linux;Microsoft Azure;Windows,"Computer science, computer engineering, or software engineering"
104,5730,I am a developer by profession,India,MongoDB;MySQL;Redis,"Developer, back-end;Developer, full-stack",HTML/CSS;Java;JavaScript;PHP;SQL,Github;Gitlab;Slack;Trello,Linux-based,AWS;Linux;Windows;WordPress,"Computer science, computer engineering, or software engineering"
105,5735,I am a developer by profession,India,Microsoft SQL Server;MySQL;SQLite,"Developer, full-stack;DevOps specialist",C#;HTML/CSS;JavaScript;SQL,Github;Microsoft Teams;Microsoft Azure,Windows,Android;Microsoft Azure,"Computer science, computer engineering, or software engineering"
106,5736,I am a developer by profession,India,Firebase;SQLite,"Developer, front-end;Developer, mobile;Educator",Java,Jira,Windows,Android;Arduino,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
107,5743,I am a developer by profession,India,Cassandra;Elasticsearch;Microsoft SQL Server;Redis,"Developer, full-stack",C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Jira;Github;Microsoft Azure,Windows,AWS;Docker;Heroku;Kubernetes;Microsoft Azure;Windows,"Computer science, computer engineering, or software engineering"
108,5745,"I am not primarily a developer, but I write code sometimes as part of my work",India,Firebase;MySQL;Oracle;SQLite,"Developer, back-end;Developer, mobile",Java;Python;SQL;Swift,"Slack;Trello;Google Suite (Docs, Meet, etc)",Linux-based,Android;Google Cloud Platform;iOS;MacOS,"Computer science, computer engineering, or software engineering"
109,5753,I am a developer by profession,India,DynamoDB;MongoDB,"Developer, full-stack;DevOps specialist",JavaScript;Python;TypeScript,Github;Gitlab;Slack,Linux-based,AWS;Docker;Google Cloud Platform;Heroku;Linux,"Computer science, computer engineering, or software engineering"
110,5760,I am a developer by profession,India,MySQL,"Developer, full-stack",HTML/CSS;JavaScript;PHP;SQL,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",Windows,AWS;Google Cloud Platform;Heroku;WordPress,"Computer science, computer engineering, or software engineering"
111,5761,I am a developer by profession,India,MariaDB;PostgreSQL,"Data scientist or machine learning specialist;Developer, back-end",Python,"Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Linux-based,AWS;Linux,"Computer science, computer engineering, or software engineering"
112,5767,I am a developer by profession,India,MongoDB;MySQL,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",C#;HTML/CSS;JavaScript;TypeScript,Confluence;Github;Microsoft Teams;Microsoft Azure,Windows,Arduino;AWS;Docker;Kubernetes;Microsoft Azure;Windows;WordPress,"Computer science, computer engineering, or software engineering"
113,5768,"I am not primarily a developer, but I write code sometimes as part of my work",India,MongoDB;MySQL,"DevOps specialist;Engineer, site reliability",Bash/Shell/PowerShell;Python;SQL,Jira;Github;Gitlab;Microsoft Teams,Windows,AWS;Docker;Kubernetes;Linux,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
114,5773,I am a developer by profession,India,Oracle,"Developer, mobile",Java,Jira;Github;Slack,Windows,Android,"Information systems, information technology, or system administration"
115,5774,I am a developer by profession,India,Microsoft SQL Server,"Data or business analyst;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Product manager",C#;HTML/CSS;JavaScript;SQL;VBA,Microsoft Azure,Windows,Windows,"Computer science, computer engineering, or software engineering"
116,5775,I am a developer by profession,India,MySQL,"Developer, QA or test",Java;Python,Confluence;Jira;Github;Slack,Linux-based,Docker;Linux,"Computer science, computer engineering, or software engineering"
117,5786,I am a developer by profession,India,MySQL;PostgreSQL,"Designer;Developer, front-end;Developer, full-stack",HTML/CSS;JavaScript;TypeScript,"Github;Google Suite (Docs, Meet, etc)",Linux-based,Linux;Windows,Web development or web design
118,5789,I am a developer by profession,India,MySQL;SQLite,"Data scientist or machine learning specialist;Developer, back-end;Developer, desktop or enterprise applications",C#;Python;SQL,Github;Slack;Trello,Linux-based,Windows,"Computer science, computer engineering, or software engineering"
119,5802,I am a developer by profession,India,MongoDB;MySQL;SQLite,Data scientist or machine learning specialist,HTML/CSS;JavaScript;Python;R;SQL,Github,Windows,Arduino;Linux;Windows,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
120,5809,I am a developer by profession,India,Microsoft SQL Server,"Developer, embedded applications or devices",C;Python,Github,Linux-based,Linux;Raspberry Pi;Windows,"Computer science, computer engineering, or software engineering"
121,5814,I am a developer by profession,India,MongoDB;MySQL,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile;Product manager",HTML/CSS;Java;JavaScript;TypeScript,"Confluence;Jira;Github;Gitlab;Google Suite (Docs, Meet, etc)",MacOS,AWS;Docker;MacOS,"A business discipline (such as accounting, finance, marketing, etc.)"
122,5823,I am a developer by profession,India,MongoDB;MySQL;PostgreSQL;Redis;SQLite,"Academic researcher;Data or business analyst;Data scientist or machine learning specialist;Developer, back-end;Developer, full-stack;DevOps specialist;Product manager",C;C++;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Confluence;Jira;Github;Gitlab;Slack;Trello,Linux-based,AWS;Docker;Google Cloud Platform;Linux,"Computer science, computer engineering, or software engineering"
123,5836,I am a developer by profession,India,Firebase;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,"Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile;Educator",C#;Dart;HTML/CSS;JavaScript;SQL,Jira;Github;Gitlab;Slack;Microsoft Teams;Microsoft Azure;Trello,Windows,AWS;Docker;Heroku;Microsoft Azure;Windows,Web development or web design
124,5841,I am a developer by profession,India,Firebase;PostgreSQL,"Developer, front-end;Developer, full-stack",HTML/CSS;JavaScript;TypeScript,Confluence;Jira;Github;Slack,Linux-based,Heroku;Linux,"Computer science, computer engineering, or software engineering"
125,5845,"I used to be a developer by profession, but no longer am",India,MariaDB;MongoDB;MySQL;Oracle;PostgreSQL,"Developer, desktop or enterprise applications;Engineering manager",Java;JavaScript;SQL,Confluence;Jira;Github,Windows,AWS;Microsoft Azure;Windows,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
126,5851,"I am not primarily a developer, but I write code sometimes as part of my work",India,Microsoft SQL Server;Oracle,"Academic researcher;Data or business analyst;Database administrator;Developer, front-end;Educator",SQL;VBA,Github,Windows,Windows,"A natural science (such as biology, chemistry, physics, etc.)"
127,5854,I am a developer by profession,India,Microsoft SQL Server;MySQL;Oracle,"Data or business analyst;Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",C;C#;C++;HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript,Jira;Github;Gitlab;Slack;Microsoft Teams;Trello,Windows,AWS;Raspberry Pi;Windows;WordPress,"Information systems, information technology, or system administration"
128,5855,I am a developer by profession,India,Oracle,"Developer, back-end;Developer, full-stack",Java;JavaScript,Confluence;Jira;Github;Microsoft Teams,Windows,Windows,"Computer science, computer engineering, or software engineering"
129,5858,I am a developer by profession,India,Cassandra;Elasticsearch;MongoDB;MySQL;SQLite,Data or business analyst;Data scientist or machine learning specialist,C++;HTML/CSS;Java;JavaScript;Kotlin;Python;R;SQL,"Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Windows,Android;Linux;Windows,"Computer science, computer engineering, or software engineering"
130,5859,I am a developer by profession,India,SQLite,"Developer, mobile",C#;Java;Kotlin,"Jira;Github;Slack;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",MacOS,Android,"Computer science, computer engineering, or software engineering"
131,5861,I am a developer by profession,India,MySQL;Oracle,"Developer, back-end;Developer, front-end",HTML/CSS;JavaScript;PHP;SQL,Confluence;Jira;Github;Microsoft Teams,Windows,Windows,Web development or web design
132,5872,I am a developer by profession,India,Microsoft SQL Server;MongoDB,"Developer, back-end;Developer, front-end;Developer, full-stack",C#;HTML/CSS;JavaScript;SQL;TypeScript,"Github;Slack;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",Windows,Microsoft Azure,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
133,5875,I am a developer by profession,India,MySQL,"Developer, back-end",HTML/CSS;JavaScript;PHP,"Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",Linux-based,Linux;Windows,"Information systems, information technology, or system administration"
134,5878,I am a developer by profession,India,Microsoft SQL Server;MongoDB;Oracle;Redis,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack",C#;HTML/CSS;JavaScript;TypeScript,Github,Windows,Docker;Heroku;Windows,"A natural science (such as biology, chemistry, physics, etc.)"
135,5891,I am a developer by profession,India,MariaDB;MongoDB;MySQL,"Developer, back-end",HTML/CSS;JavaScript;PHP;Python;Ruby,Slack,MacOS,Android;AWS;Docker;Linux;Slack Apps and Integrations;WordPress,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
136,5893,I am a developer by profession,India,MySQL,"Developer, back-end;Developer, front-end;Developer, full-stack;Engineer, data",Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL;TypeScript,Github;Slack;Microsoft Azure;Trello,MacOS,Docker;Linux;MacOS,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
137,5895,I am a developer by profession,India,PostgreSQL,"Developer, back-end",Python,Github,Linux-based,Docker;Kubernetes;Linux,"Computer science, computer engineering, or software engineering"
138,5897,I am a developer by profession,India,SQLite,"Developer, mobile",Java;Kotlin,Github;Slack;Trello,Windows,Android,"Computer science, computer engineering, or software engineering"
139,5910,"I am not primarily a developer, but I write code sometimes as part of my work",India,Firebase;SQLite,"Developer, desktop or enterprise applications;Developer, full-stack;Developer, game or graphics;Developer, mobile",Bash/Shell/PowerShell;Dart;HTML/CSS;Java;Kotlin;PHP;Python;Scala;Swift,"Github;Google Suite (Docs, Meet, etc)",MacOS,Android;AWS;Docker;Google Cloud Platform;iOS;MacOS,"Information systems, information technology, or system administration"
